id,bulletin_date,patch_level,category,published,modified,commit_start,commit_end,nvd_severity,nvd_score,nvd_severity_v3,nvd_score_v3
CVE-2022-20419,2022-10-03 00:00:00,2022-10-01,framework,2022-10-11,2022-10-11,2022-08-03 11:48:33-07:00,2022-08-19 18:43:19+00:00,,,HIGH,7.8
CVE-2022-20420,2022-10-03 00:00:00,2022-10-01,framework,2022-10-11,2022-10-11,2022-07-13 18:16:52-07:00,2022-08-19 18:43:09+00:00,,,HIGH,7.8
CVE-2022-20351,2022-10-03 00:00:00,2022-10-01,framework,2022-10-11,2022-10-11,2022-04-28 16:53:40-07:00,2022-05-10 15:30:44+00:00,,,MEDIUM,5.5
CVE-2021-39624,2022-10-03 00:00:00,2022-10-01,framework,2022-03-16,2022-06-15,2022-03-31 10:06:06+08:00,2022-03-31 02:38:58+00:00,MEDIUM,4.9,MEDIUM,5.5
CVE-2021-39758,2022-10-03 00:00:00,2022-10-01,framework,2022-03-30,2022-03-30,2021-11-24 15:49:43+00:00,2021-11-25 10:42:47+00:00,MEDIUM,4.6,HIGH,7.8
CVE-2022-20415,2022-10-03 00:00:00,2022-10-01,framework,2022-10-11,2022-10-11,2022-07-18 13:28:21+00:00,2022-08-19 18:43:16+00:00,,,HIGH,7.8
CVE-2022-20413,2022-10-03 00:00:00,2022-10-01,media framework,2022-10-11,2022-10-11,2022-06-15 19:26:01+00:00,2022-08-19 18:42:49+00:00,,,MEDIUM,5.5
CVE-2022-20418,2022-10-03 00:00:00,2022-10-01,media framework,2022-10-11,2022-10-11,2022-07-22 12:50:25+00:00,2022-08-19 18:42:53+00:00,,,HIGH,7.5
CVE-2022-20412,2022-10-03 00:00:00,2022-10-01,system,2022-10-11,2022-10-11,2022-08-04 09:56:58+00:00,2022-08-19 18:42:47+00:00,,,MEDIUM,6.7
CVE-2022-20416,2022-10-03 00:00:00,2022-10-01,system,2022-10-11,2022-10-11,2022-07-07 18:13:45+00:00,2022-08-19 18:43:50+00:00,,,HIGH,7.8
CVE-2022-20417,2022-10-03 00:00:00,2022-10-01,system,2022-10-11,2022-10-11,,,,,HIGH,7.8
CVE-2021-39673,2022-10-03 00:00:00,2022-10-01,system,,,2022-08-09 19:03:11+00:00,2022-08-19 18:44:31+00:00,,,,
CVE-2022-20394,2022-10-03 00:00:00,2022-10-01,system,2022-10-11,2022-10-11,2022-02-16 18:57:24+01:00,2022-02-22 16:52:25+00:00,,,MEDIUM,5.0
CVE-2022-20410,2022-10-03 00:00:00,2022-10-01,system,2022-10-11,2022-10-11,2022-04-01 11:22:34+08:00,2022-08-19 18:44:21+00:00,,,HIGH,7.5
CVE-2022-20425,2022-10-03 00:00:00,2022-10-01,system,2022-10-11,2022-10-11,2022-06-28 15:43:33-04:00,2022-08-19 18:43:25+00:00,,,MEDIUM,5.5
CVE-2022-1786,2022-10-03 00:00:00,2022-10-01,kernel,2022-05-31,2022-07-22,2022-05-16 23:05:51+02:00,2022-06-01 16:15:27+00:00,HIGH,7.2,HIGH,7.8
CVE-2022-20421,2022-10-03 00:00:00,2022-10-01,kernel,2022-10-11,2022-11-01,2022-08-01 18:25:11+00:00,2022-08-02 20:15:27+00:00,,,HIGH,7.8
CVE-2022-20422,2022-10-03 00:00:00,2022-10-01,kernel,2022-10-11,2022-11-01,2022-07-02 05:43:19+00:00,2022-07-25 08:57:18+00:00,,,HIGH,7.0
CVE-2022-20423,2022-10-03 00:00:00,2022-10-01,kernel,2022-10-11,2022-10-11,2022-03-01 11:04:24+03:00,2022-08-04 11:54:13+00:00,,,MEDIUM,4.6
CVE-2022-20409,2022-10-03 00:00:00,2022-10-01,kernel components,2022-10-11,2022-10-17,2022-07-19 12:52:51+01:00,2022-08-03 16:22:41+00:00,,,MEDIUM,6.7
CVE-2021-0696,2022-10-03 00:00:00,2022-10-01,imagination technologies,2022-10-11,2022-10-11,,,,,HIGH,7.0
CVE-2021-0951,2022-10-03 00:00:00,2022-10-01,imagination technologies,2022-10-11,2022-10-11,,,,,HIGH,7.8
CVE-2021-0699,2022-10-03 00:00:00,2022-10-01,imagination technologies,2022-10-14,2022-10-14,,,,,HIGH,7.8
CVE-2022-26471,2022-10-03 00:00:00,2022-10-01,mediatek components,2022-10-07,2022-10-07,,,,,HIGH,7.8
CVE-2022-26472,2022-10-03 00:00:00,2022-10-01,mediatek components,2022-10-07,2022-10-07,,,,,HIGH,7.8
CVE-2022-20430,2022-10-03 00:00:00,2022-10-01,unisoc components,2022-10-11,2022-10-11,,,,,HIGH,7.8
CVE-2022-20431,2022-10-03 00:00:00,2022-10-01,unisoc components,2022-10-11,2022-10-11,,,,,HIGH,7.8
CVE-2022-20432,2022-10-03 00:00:00,2022-10-01,unisoc components,2022-10-11,2022-10-11,,,,,HIGH,7.8
CVE-2022-20433,2022-10-03 00:00:00,2022-10-01,unisoc components,2022-10-11,2022-10-11,,,,,HIGH,7.8
CVE-2022-20434,2022-10-03 00:00:00,2022-10-01,unisoc components,2022-10-11,2022-10-11,,,,,HIGH,7.8
CVE-2022-20435,2022-10-03 00:00:00,2022-10-01,unisoc components,2022-10-11,2022-10-11,,,,,HIGH,7.8
CVE-2022-20436,2022-10-03 00:00:00,2022-10-01,unisoc components,2022-10-11,2022-10-11,,,,,HIGH,7.8
CVE-2022-20437,2022-10-03 00:00:00,2022-10-01,unisoc components,2022-10-11,2022-10-11,,,,,MEDIUM,5.5
CVE-2022-20438,2022-10-03 00:00:00,2022-10-01,unisoc components,2022-10-11,2022-10-11,,,,,MEDIUM,5.5
CVE-2022-20439,2022-10-03 00:00:00,2022-10-01,unisoc components,2022-10-11,2022-10-11,,,,,MEDIUM,5.5
CVE-2022-20440,2022-10-03 00:00:00,2022-10-01,unisoc components,2022-10-11,2022-10-11,,,,,MEDIUM,5.5
CVE-2022-25720,2022-10-03 00:00:00,2022-10-01,qualcomm components,2022-10-19,2022-10-19,2021-09-30 07:31:10+00:00,2022-04-18 07:03:33+00:00,,,CRITICAL,9.8
CVE-2022-22077,2022-10-03 00:00:00,2022-10-01,qualcomm components,2022-10-12,2022-10-12,,,,,HIGH,7.8
CVE-2022-25723,2022-10-03 00:00:00,2022-10-01,qualcomm components,2022-10-17,2022-10-17,,,,,HIGH,7.8
CVE-2022-33214,2022-10-03 00:00:00,2022-10-01,qualcomm components,2022-10-17,2022-10-17,2022-03-17 05:35:30+00:00,2022-05-12 13:00:40+00:00,,,HIGH,7.0
CVE-2022-33217,2022-10-03 00:00:00,2022-10-01,qualcomm components,2022-10-17,2022-10-17,2022-05-20 13:01:23+00:00,2022-06-07 06:16:56+00:00,,,HIGH,7.8
CVE-2022-25718,2022-10-03 00:00:00,2022-10-01,qualcomm closed-source components,2022-10-19,2022-10-19,,,,,CRITICAL,9.8
CVE-2022-25748,2022-10-03 00:00:00,2022-10-01,qualcomm closed-source components,2022-10-19,2022-10-19,,,,,CRITICAL,9.8
CVE-2022-25660,2022-10-03 00:00:00,2022-10-01,qualcomm closed-source components,2022-10-12,2022-10-12,,,,,HIGH,7.8
CVE-2022-25661,2022-10-03 00:00:00,2022-10-01,qualcomm closed-source components,2022-10-12,2022-10-12,,,,,HIGH,7.8
CVE-2022-25687,2022-10-03 00:00:00,2022-10-01,qualcomm closed-source components,2022-10-19,2022-10-19,,,,,CRITICAL,9.8
CVE-2022-25736,2022-10-03 00:00:00,2022-10-01,qualcomm closed-source components,2022-10-19,2022-10-19,,,,,HIGH,7.5
CVE-2022-25749,2022-10-03 00:00:00,2022-10-01,qualcomm closed-source components,2022-10-19,2022-10-19,,,,,HIGH,7.5
CVE-2021-0511,2021-06-07 00:00:00,2021-06-01,android runtime,2021-06-21,2021-06-21,2020-11-23 19:21:09-08:00,2021-04-17 00:08:20+00:00,MEDIUM,4.6,HIGH,7.8
CVE-2021-0521,2021-06-07 00:00:00,2021-06-01,framework,2021-06-21,2021-06-21,2021-02-08 22:38:28+00:00,2021-02-18 18:19:44+00:00,LOW,2.1,MEDIUM,5.5
CVE-2021-0508,2021-06-07 00:00:00,2021-06-01,media framework,2021-06-21,2021-06-21,2021-02-04 00:03:08-08:00,2021-03-08 17:57:34+00:00,MEDIUM,6.9,HIGH,7.0
CVE-2021-0509,2021-06-07 00:00:00,2021-06-01,media framework,2021-06-21,2021-06-21,2021-01-22 20:38:33-08:00,2021-04-05 23:20:45-07:00,MEDIUM,4.4,HIGH,7.0
CVE-2021-0510,2021-06-07 00:00:00,2021-06-01,media framework,2021-06-21,2021-06-21,2021-02-02 22:28:41-08:00,2021-02-25 17:55:20+00:00,MEDIUM,4.6,HIGH,7.8
CVE-2021-0520,2021-06-07 00:00:00,2021-06-01,media framework,2021-06-21,2021-06-21,2021-02-02 14:36:26-08:00,2021-02-26 21:17:31+00:00,MEDIUM,4.4,HIGH,7.0
CVE-2021-0507,2021-06-07 00:00:00,2021-06-01,system,2021-06-21,2021-06-21,2021-03-21 15:51:18-07:00,2021-04-06 19:58:44+00:00,HIGH,8.3,HIGH,8.8
CVE-2021-0516,2021-06-07 00:00:00,2021-06-01,system,2021-06-21,2021-06-21,2021-03-01 08:11:54-08:00,2021-03-01 20:59:08+00:00,HIGH,7.5,CRITICAL,9.8
CVE-2021-0505,2021-06-07 00:00:00,2021-06-01,system,2021-06-21,2021-06-21,2021-03-18 22:46:08+00:00,2021-04-01 12:39:32+01:00,HIGH,7.2,HIGH,7.8
