security_patch,date
2024-12-01,2024-12-02
2024-11-01,2024-11-04
2024-10-01,2024-10-07
2024-09-01,2024-09-03
2024-08-01,2024-08-05
2024-07-01,2024-07-01
2024-06-01,2024-06-03
2024-05-01,2024-05-06
2024-04-01,2024-04-01
2024-03-01,2024-03-04
2024-02-01,2024-02-05
2024-01-01,2024-01-03
2023-12-01,2023-12-04
2023-11-01,2023-11-02
2023-10-01,2023-10-02
2023-09-01,2023-09-05
2023-08-01,2023-08-07
2023-07-01,2023-07-05
2023-06-01,2023-06-06
2023-05-01,2023-05-01
2023-04-01,2023-04-03
2023-03-01,2023-03-13
2023-02-01,2023-02-06
2023-01-01,2023-01-03
2022-12-01,2022-12-05
2022-11-01,2022-11-07
2022-10-01,2022-10-03
2022-09-01,2022-09-06
2022-08-01,2022-08-01
2022-07-01,2022-07-06
2022-06-01,2022-06-06
2022-05-01,2022-05-02
2022-04-01,2022-04-04
2022-03-01,2022-03-07
2022-02-01,2022-02-07
2022-01-01,2022-01-04
2021-12-01,2021-12-06
2021-11-01,2021-11-01
2021-10-01,2021-10-04
2021-09-01,2021-09-07
2021-08-01,2021-08-02
2021-07-01,2021-07-07
2021-06-01,2021-06-07
2021-05-01,2021-05-03
2021-04-01,2021-04-05
2021-03-01,2021-03-01
2021-02-01,2021-02-01
2021-01-01,2021-01-04
2020-12-01,2020-12-07
2020-11-01,2020-11-02
2020-10-01,2020-10-05
2020-09-01,2020-09-08
2020-08-01,2020-08-03
2020-07-01,2020-07-06
2020-06-01,2020-06-01
2020-05-01,2020-05-04
2020-04-01,2020-04-06
2020-03-01,2020-03-02
2020-02-01,2020-02-03
2020-01-01,2020-01-06
2019-12-01,2019-12-02
2019-11-01,2019-11-04
2019-10-01,2019-10-07
2019-09-01,2019-09-03
2019-08-01,2019-08-05
2019-07-01,2019-07-01
2019-06-01,2019-06-03
2019-05-01,2019-05-06
2019-04-01,2019-04-01
2019-03-01,2019-03-04
2019-02-01,2019-02-04
2019-01-01,2019-01-07
2018-12-01,2018-12-03
2018-11-01,2018-11-05
2018-10-01,2018-10-01
2018-09-01,2018-09-04
2018-08-01,2018-08-06
2018-07-01,2018-07-02
2018-06-01,2018-06-04
2018-05-01,2018-05-07
2018-04-01,2018-04-02
2018-03-01,2018-03-05
2018-02-01,2018-02-05
2018-01-01,2018-01-02
2017-12-01,2017-12-04
2017-11-01,2017-11-06
2017-10-01,2017-10-02
2017-09-01,2017-09-05
2017-08-01,2017-08-07
2017-07-01,2017-07-05
2017-06-01,2017-06-05
