app,time,tot_time
com.gamma.scan,3329,0
org.telegram.messenger.web,3576,0
com.whatsapp,3489,0
com.instagram.android,3458,0
com.facebook.orca,3949,0
com.zzkko,3381,0
com.disney.disneyplus,3291,0
com.snapchat.android,3359,0
com.facebook.lite,3371,0
com.ubercab,3385,0
com.mcdonalds.mobileapp,3360,0
com.netflix.mediaclient,3327,0
com.discord,3287,0
com.duolingo,3369,0
com.ebay.mobile,3397,0
com.outfit7.talkingnewsfree,3349,0
com.pinterest,3413,0
tv.twitch.android.app,3576,0
kjv.bible.kingjamesbible,3410,0
com.tinder,3453,0
com.expedia.bookings,3419,0
com.indeed.android.jobsearch,3402,0
com.contextlogic.wish,3515,0
com.alibaba.intl.android.apps.poseidon,3553,0
com.meditation.deepsleep.relax,3422,0
me.lyft.android,3284,0
com.yahoo.mobile.client.android.mail,3420,0
com.linkedin.android,3409,0
com.yahoo.mobile.client.android.finance,3500,0
tv.pluto.android,3332,0
com.gamma.scan,3271,0
org.telegram.messenger.web,3453,0
com.whatsapp,3437,0
com.instagram.android,3441,0
com.facebook.orca,3768,0
com.zzkko,3825,0
com.disney.disneyplus,3386,0
com.snapchat.android,3348,0
com.facebook.lite,3359,0
com.ubercab,3754,0
com.mcdonalds.mobileapp,3310,0
com.netflix.mediaclient,3330,0
com.discord,3422,0
com.duolingo,3340,0
com.ebay.mobile,3379,0
com.outfit7.talkingnewsfree,3855,0
com.pinterest,3322,0
tv.twitch.android.app,3333,0
kjv.bible.kingjamesbible,3401,0
com.tinder,3395,0
com.expedia.bookings,3366,0
com.indeed.android.jobsearch,3712,0
com.contextlogic.wish,3390,0
com.alibaba.intl.android.apps.poseidon,3484,0
com.meditation.deepsleep.relax,3376,0
me.lyft.android,3345,0
com.yahoo.mobile.client.android.mail,3382,0
com.linkedin.android,3520,0
com.yahoo.mobile.client.android.finance,3361,0
tv.pluto.android,3289,0
com.gamma.scan,3416,0
org.telegram.messenger.web,3398,0
com.whatsapp,3459,0
com.instagram.android,3562,0
com.facebook.orca,3603,0
com.zzkko,3356,0
com.disney.disneyplus,3399,0
com.snapchat.android,3340,0
com.facebook.lite,3360,0
com.ubercab,3347,0
com.mcdonalds.mobileapp,3348,0
com.netflix.mediaclient,3326,0
com.discord,3484,0
com.duolingo,3372,0
com.ebay.mobile,3390,0
com.outfit7.talkingnewsfree,3423,0
com.pinterest,3323,0
tv.twitch.android.app,3297,0
kjv.bible.kingjamesbible,3536,0
com.tinder,3354,0
com.expedia.bookings,3378,0
com.indeed.android.jobsearch,3322,0
com.contextlogic.wish,3360,0
com.alibaba.intl.android.apps.poseidon,3438,0
com.meditation.deepsleep.relax,3561,0
me.lyft.android,3283,0
com.yahoo.mobile.client.android.mail,3407,0
com.linkedin.android,3517,0
com.yahoo.mobile.client.android.finance,3384,0
tv.pluto.android,3335,0
com.gamma.scan,3291,0
org.telegram.messenger.web,3413,0
com.whatsapp,3448,0
com.instagram.android,3455,0
com.facebook.orca,3578,0
com.zzkko,3847,0
com.disney.disneyplus,3382,0
com.snapchat.android,3338,0
com.facebook.lite,3678,0
com.ubercab,3353,0
com.mcdonalds.mobileapp,3363,0
com.netflix.mediaclient,3581,0
com.discord,3328,0
com.duolingo,3371,0
com.ebay.mobile,3527,0
com.outfit7.talkingnewsfree,3525,0
com.pinterest,3348,0
tv.twitch.android.app,3511,0
kjv.bible.kingjamesbible,3405,0
com.tinder,3351,0
com.expedia.bookings,3538,0
com.indeed.android.jobsearch,3648,0
com.contextlogic.wish,3382,0
com.alibaba.intl.android.apps.poseidon,3474,0
com.meditation.deepsleep.relax,3388,0
me.lyft.android,3349,0
com.yahoo.mobile.client.android.mail,3430,0
com.linkedin.android,3368,0
com.yahoo.mobile.client.android.finance,3393,0
tv.pluto.android,3415,0
com.gamma.scan,3263,0
org.telegram.messenger.web,3365,0
com.whatsapp,3656,0
com.instagram.android,3451,0
com.facebook.orca,3620,0
com.zzkko,3476,0
com.disney.disneyplus,3349,0
com.snapchat.android,3367,0
com.facebook.lite,3355,0
com.ubercab,3453,0
com.mcdonalds.mobileapp,3389,0
com.netflix.mediaclient,3344,0
com.discord,3345,0
com.duolingo,3452,0
com.ebay.mobile,3504,0
com.outfit7.talkingnewsfree,3397,0
com.pinterest,3487,0
tv.twitch.android.app,3392,0
kjv.bible.kingjamesbible,3395,0
com.tinder,3418,0
com.expedia.bookings,3467,0
com.indeed.android.jobsearch,3317,0
com.contextlogic.wish,3358,0
com.alibaba.intl.android.apps.poseidon,3478,0
com.meditation.deepsleep.relax,3393,0
me.lyft.android,3290,0
com.yahoo.mobile.client.android.mail,3547,0
com.linkedin.android,3381,0
com.yahoo.mobile.client.android.finance,3361,0
tv.pluto.android,3592,0
com.gamma.scan,3359,0
org.telegram.messenger.web,3378,0
com.whatsapp,3499,0
com.instagram.android,3434,0
com.facebook.orca,3776,0
com.zzkko,3384,0
com.disney.disneyplus,3342,0
com.snapchat.android,3493,0
com.facebook.lite,3543,0
com.ubercab,3352,0
com.mcdonalds.mobileapp,3344,0
com.netflix.mediaclient,3396,0
com.discord,3376,0
com.duolingo,3588,0
com.ebay.mobile,3442,0
com.outfit7.talkingnewsfree,3309,0
com.pinterest,3378,0
tv.twitch.android.app,3361,0
kjv.bible.kingjamesbible,3421,0
com.tinder,3405,0
com.expedia.bookings,3421,0
com.indeed.android.jobsearch,3311,0
com.contextlogic.wish,3400,0
com.alibaba.intl.android.apps.poseidon,3438,0
com.meditation.deepsleep.relax,3332,0
me.lyft.android,3537,0
com.yahoo.mobile.client.android.mail,3362,0
